Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2821    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/general_utils.py:31(get_deriv_name)
       76    0.001    0.000    0.009    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csr.py:172(tocsc)
       11    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ozone_lsdo_nbe/ozone/ozone/classes/integrators/utils.py:5(lin_interp)
      231    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
     1011    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/reportviews.py:424(__call__)
      367    0.001    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:435(__setitem__)
     8073    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     4573    0.001    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/algorithms/traversal/breadth_first_search.py:90(bfs_edges)
      156    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_matmat_maxnnz}
       20    0.001    0.000    0.114    0.006 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/implicit/newton.py:16(_solve_implicit)
