Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1875    0.016    0.000    0.209    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:126(__init__)
     1875    0.040    0.000    0.113    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:265(_check)
     1875    0.002    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:119(getdata)
     1874    0.009    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:73(_coo_container)
     1781    0.004    0.000    0.321    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:348(asformat)
     1712    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1618    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
     1618    0.004    0.000    0.046    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     1606    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1530    0.006    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:78(_csc_container)
     1414    0.018    0.000    0.278    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:330(tocsc)
     1308    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/systemgraph.py:858(get_successor_path_string)
   1140/1    0.004    0.000    0.006    0.006 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:109(to_string)
     1139    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:101(_indent_all)
     1011    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/reportviews.py:424(__call__)
     1011    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/reportviews.py:545(__getitem__)
      987    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      825    0.001    0.000    0.043    0.000 <__array_function__ internals>:177(sum)
      825    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2157(_sum_dispatcher)
      825    0.002    0.000    0.041    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
      793    0.001    0.000    0.009    0.000 <__array_function__ internals>:177(prod)
      793    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2922(_prod_dispatcher)
      793    0.001    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2927(prod)
      764    0.003    0.000    0.385    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/custom_explicit/custom_explicit.py:172(get_partials)
      730    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      655    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:125(_unpack_tuple)
      655    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:133(_unique_dispatcher)
      655    0.001    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:138(unique)
